fromControl,toControl
SI-13,5.10.1.5
SC-2,5.10.3
SI-1,5.10.4
CM-3,5.10.4.1
CM-4,5.10.4.1
CM-4(1),5.10.4.1
CM-8,5.10.4.1
RA-5,5.10.4.1
RA-5(2),5.10.4.1
RA-5(3),5.10.4.1
SA-11,5.10.4.1
SA-11(1),5.10.4.1
SI-2,5.10.4.1
SI-2(2),5.10.4.1
SI-2(3),5.10.4.1
SI-1,5.10.4.1
AC-6,5.10.4.2
MA-3(2),5.10.4.2
MP-7,5.10.4.2
SI-3,5.10.4.2
SI-8,5.10.4.3
SI-8(2),5.10.4.3
SI-5,5.10.4.4
SI-5(1),5.10.4.4
SI-11,5.10.4.4
IR-8,5.10.4.4
SI-10,5.10.4.5
SI-12,5.10.4.5
CA-2,5.11.1
CA-1,5.11.1
CA-7, 5.11.1
CA-2,5.11.1.1
CA-7,5.11.1.1
CA-1,5.11.1.1
CA-2,5.11.1.2
CA-1,5.11.1.2
CA-2,5.11.2
CA-1,5.11.2
CA-2(1),5.11.3
CA-3,5.11.3
CA-5,5.11.3
CA-6,5.11.3
CA-7(1),5.11.3
CM-3(4),5.11.3
CA-2,5.11.4
PS-2,5.12.1
PS-3,5.12.1
PS-3(1),5.12.1
PS-3(2),5.12.1
PS-3(3),5.12.1
PS-6,5.12.1
PS-6(2),5.12.1
PS-7,5.12.1
AC-19(5),5.13.1.2.1
AC-19,5.13.1.2.2
AC-19(5),5.13.1.2.2
AC-18(5),5.13.1.3
AC-18,5.13.1.4
AC-18(1),5.13.1.4
AC-19,5.13.1.4
IA-5,5.13.1.4
IA-5(1),5.13.1.4
SC-40,5.13.1.4
SI-4(14),5.13.1.4
SI-4(15),5.13.1.4
AC-19,5.13.2
AC-19(5),5.13.2
MP-7,5.13.2
AC-19,5.13.3
AC-19(5),5.13.3
CM-1,5.13.4
CM-2,5.13.4
CM-2(3),5.13.4
CM-2(7),5.13.4
CM-3,5.13.4
CM-3(1),5.13.4
CM-3(2),5.13.4
CM-3,5.13.4.1
CM-4,5.13.4.1
CM-4(1),5.13.4.1
RA-5,5.13.4.1
RA-5(2),5.13.4.1
RA-5(3),5.13.4.1
SA-11,5.13.4.1
SA-11(1),5.13.4.1
SI-2,5.13.4.1
SI-2(2),5.13.4.1
SI-2(3),5.13.4.1
AC-6,5.13.4.2
MA-3(2),5.13.4.2
MP-7,5.13.4.2
SI-3,5.13.4.2
SC-18,5.13.4.3
SC-18(1),5.13.4.3
SC-18(2),5.13.4.3
IA-3,5.13.7
IA-5(2),5.13.7
MA-4,5.13.7
SC-37,5.13.7
SC-37(1),5.13.7
IA-1,5.13.7.1
IA-2,5.13.7.1
AC-19,5.13.7.2.1
IA-3,5.13.7.2.1
IA-3(4),5.13.7.2.1
PE-18,5.13.7.2.1
PE-20,5.13.7.2.1
AC-19,5.13.7.3
IA-3,5.13.7.3
IA-3(4),5.13.7.3
